Unit_ID,geog_type,geog_id,Population,Latitude,Longitude
13075,blockgroup,483396906012,2427,30.2106595,-95.51708662
6613,blockgroup,60855032112,2427,37.31031382,-121.834991
799334,blockgroup,340210039041,2429,40.29411895,-74.77115541
12618,blockgroup,550979611001,2429,44.4671173,-89.63509552
1269,blockgroup,40138112001,2429,33.29872388,-111.8852317
589734,blockgroup,250158219011,2430,42.32368978,-72.64450682
797378,blockgroup,483396913022,2431,30.15992921,-95.50297959
806098,blockgroup,400272025003,2433,35.1153624,-97.37070394
8077,blockgroup,540390114022,2433,38.28264148,-81.4870937
800114,blockgroup,40134206031,2435,33.44776972,-111.7790731
799932,blockgroup,291892216261,2436,38.61363738,-90.62601154
7555,blockgroup,171130011052,2436,40.49195259,-88.93441859
8665,blockgroup,291892216261,2436,38.61363738,-90.62601154
799290,blockgroup,80679706002,2437,37.27702154,-107.563507
805716,blockgroup,540039719002,2437,39.44587311,-78.01310622
800118,blockgroup,540039719002,2437,39.44587311,-78.01310622
589816,blockgroup,361031581151,2438,40.89376808,-73.07243429
1038,blockgroup,210670034062,2438,37.97303937,-84.45328468
805610,blockgroup,471490408101,2439,35.73522264,-86.61858622
8255,blockgroup,40190046241,2439,32.35431787,-111.0414996
222101,blockgroup,270530265091,2439,45.04112829,-93.42826048
12915,blockgroup,271630710132,2441,44.91358149,-92.95453372
10649,blockgroup,330110112001,2441,42.72072584,-71.46073512
12387,blockgroup,450450018041,2441,34.88512632,-82.32077691
1052,blockgroup,510594611002,2442,38.89196143,-77.2968984
797110,blockgroup,510594610001,2444,38.90220901,-77.27469133
797350,blockgroup,550350003012,2445,44.83585472,-91.33182032
7987,blockgroup,180571110081,2445,39.96721121,-86.14951097
7187,blockgroup,40138122002,2445,33.26511789,-111.8691939
7796,blockgroup,40138122002,2445,33.26511789,-111.8691939
615476,blockgroup,470930061023,2445,36.05019867,-84.00847964
7606,blockgroup,340057037001,2446,39.82727823,-74.76250853
799126,blockgroup,40138131001,2446,33.24041651,-111.8325536
10629,blockgroup,471251016001,2446,36.49609334,-87.40519388
797488,blockgroup,530350901021,2447,47.80954211,-122.5095777
10261,blockgroup,130099708001,2448,33.0037383,-83.20866873
615388,blockgroup,421298021012,2448,40.45018681,-79.695571
800070,blockgroup,191810209001,2448,41.34636982,-93.57696719
6458,blockgroup,131210114101,2448,33.9810032,-84.27680819
598740,blockgroup,340270419023,2448,40.80163871,-74.38593021
9479,blockgroup,131350504331,2450,33.88511157,-84.2093864
27038,blockgroup,60014416021,2450,37.56163305,-122.0211671
256968,blockgroup,60710097082,2451,34.42927415,-117.1159567
29702,blockgroup,90093434004,2452,41.49924293,-72.92589302
6440,blockgroup,484391139266,2453,32.92689645,-97.32262691
8940,blockgroup,371330012001,2454,34.83692654,-77.45422442
799330,blockgroup,40138103003,2455,33.33194278,-111.8858578
969,blockgroup,60374018002,2455,34.11552137,-117.7306578
10796,blockgroup,484910215082,2455,30.5240307,-97.65355204
598710,blockgroup,340258096004,2456,40.34354724,-74.31434591
665198,blockgroup,60590997032,2458,33.73394033,-117.9764765
5298,blockgroup,240317045032,2459,39.00437914,-77.11846052
222099,blockgroup,420293067001,2460,39.77820423,-75.81571924
664658,blockgroup,80350140013,2461,39.55937052,-104.8334847
664660,blockgroup,80350140013,2461,39.55937052,-104.8334847
31967,blockgroup,80350140013,2461,39.55937052,-104.8334847
31968,blockgroup,80350140013,2461,39.55937052,-104.8334847
656782,blockgroup,240317003101,2462,39.18167095,-77.285173
11276,blockgroup,370459515031,2463,35.23746983,-81.62048034
649212,blockgroup,40134201102,2464,33.45121674,-111.6241708
9150,blockgroup,40136105003,2464,33.83522403,-112.0913695
799982,blockgroup,191250301002,2465,41.46274877,-93.10629845
216022,blockgroup,191250301002,2465,41.46274877,-93.10629845
675986,blockgroup,420912033042,2466,40.14175566,-75.32863331
28698,blockgroup,210670039121,2466,38.0007152,-84.43499691
662412,blockgroup,40134201091,2467,33.46013609,-111.6697027
812000,blockgroup,60530018012,2467,36.68559989,-121.66482
669074,blockgroup,170318285055,2468,41.54168764,-87.56677903
615502,blockgroup,360470342001,2468,40.57437731,-73.99356484
27952,blockgroup,291892179422,2468,38.56359655,-90.50825893
9302,blockgroup,170318046062,2469,42.00268832,-88.05448764
210448,blockgroup,60373203001,2469,34.28367248,-118.4508077
7988,blockgroup,240054037021,2471,39.38633851,-76.74983593
8777,blockgroup,131510701091,2472,33.58744772,-84.23935699
657038,blockgroup,61110063012,2473,34.22361256,-118.9058687
11151,blockgroup,550630107001,2473,43.74398601,-91.18289116
27919,blockgroup,270190901001,2476,44.92077609,-93.82887592
3681,blockgroup,360550131041,2477,43.07959105,-77.62016742
5217,blockgroup,330110102003,2478,42.7922629,-71.50200808
5540,blockgroup,551091203004,2478,45.00576313,-92.74345236
7681,blockgroup,484090106031,2478,27.88541133,-97.30301254
9894,blockgroup,211130601021,2478,37.88718663,-84.56027725
12143,blockgroup,60790118005,2478,35.12578818,-120.5575213
26929,blockgroup,120570132062,2478,27.90349204,-82.23337633
600902,blockgroup,60710097111,2478,34.48588074,-117.2484245
11213,blockgroup,60374081371,2479,34.01112428,-117.8835832
805794,blockgroup,60590320362,2480,33.61993633,-117.6554943
29731,blockgroup,60379103011,2481,34.63451279,-118.2231517
13010,blockgroup,511076110041,2483,39.05528278,-77.52868113
5600,blockgroup,511076105061,2484,39.10157961,-77.53691409
10450,blockgroup,61110053041,2484,34.22464425,-118.9830956
799164,blockgroup,191130010011,2485,41.99944525,-91.73663515
5906,blockgroup,515500208051,2485,36.76979258,-76.23942166
214634,blockgroup,410670319112,2487,45.43220118,-122.808201
10274,blockgroup,311090038013,2489,40.78741403,-96.61580069
7331,blockgroup,130670313072,2493,33.83215481,-84.56181784
215228,blockgroup,360550115054,2496,43.14066601,-77.43311053
8591,blockgroup,471550806024,2496,35.93084527,-83.51546227
11429,blockgroup,60590760002,2496,33.77935129,-117.8633873
13639,blockgroup,80079742003,2496,37.25436794,-107.0984477
5712,blockgroup,511076105031,2497,39.13237085,-77.5311799
9605,blockgroup,260810148052,2497,42.83377363,-85.60494034
27541,blockgroup,550551005003,2497,43.06047621,-88.90093035
10581,blockgroup,240054044023,2498,39.4689299,-76.78739828
26613,blockgroup,240054044023,2498,39.4689299,-76.78739828
10316,blockgroup,450439205031,2498,33.48945136,-79.12156616
5842,blockgroup,471570211251,2499,35.14648953,-89.8037095
12640,blockgroup,340350526012,2500,40.68650054,-74.58899828
615330,blockgroup,311090037151,2500,40.73359258,-96.65388137
14679,blockgroup,240276068032,2501,39.16449135,-76.86221525
5949,blockgroup,360290091164,2502,43.01543157,-78.80831992
28110,blockgroup,170318046091,2503,42.03430728,-88.05322316
27456,blockgroup,191530040012,2504,41.5668227,-93.6769968
8898,blockgroup,80410037073,2507,38.94081511,-104.8816355
763,blockgroup,240317015062,2508,39.03981049,-77.0024083
799124,blockgroup,515102018012,2508,38.82936702,-77.04764505
5373,blockgroup,550250107011,2508,43.00791964,-89.44764103
799488,blockgroup,220550014042,2508,30.13247667,-92.01772115
26243,blockgroup,250235202023,2509,42.11819278,-70.95789193
30668,blockgroup,60371132131,2510,34.25326428,-118.6100394
27575,blockgroup,170438413211,2510,41.96046334,-88.16470468
799122,blockgroup,80590104051,2514,39.79211006,-105.0795852
244826,blockgroup,80590104051,2514,39.79211006,-105.0795852
799354,blockgroup,40134201041,2515,33.42966221,-111.6414677
5860,blockgroup,50450303013,2515,35.06484435,-92.34464773
28849,blockgroup,60590992302,2515,33.69773346,-117.9500573
798484,blockgroup,340190110012,2517,40.66872078,-74.86697823
468766,blockgroup,510932801012,2518,37.00801518,-76.66224033
1035,blockgroup,80410074002,2518,39.10157149,-104.8453672
5938,blockgroup,40134203031,2518,33.45563882,-111.7621379
619800,blockgroup,511539003003,2519,38.66534155,-77.28243676
10911,blockgroup,60730024022,2519,32.74682376,-117.1070308
5655,blockgroup,484391055073,2519,32.6576281,-97.43731348
608582,blockgroup,90010444001,2520,41.07365299,-73.41001434
805936,blockgroup,132310101001,2520,33.118015,-84.31523294
8606,blockgroup,510932801032,2521,36.94362908,-76.51062133
234840,blockgroup,271630710061,2521,44.94014138,-92.94352712
599872,blockgroup,401430058081,2521,36.2830855,-95.89700146
598760,blockgroup,340350507042,2522,40.58576738,-74.66937765
1166,blockgroup,340350507042,2522,40.58576738,-74.66937765
797270,blockgroup,361190131032,2525,41.19339098,-73.82431966
9560,blockgroup,361190131032,2525,41.19339098,-73.82431966
805644,blockgroup,180973401131,2525,39.78526144,-86.31987443
6028,blockgroup,270370610092,2525,44.74106764,-93.10407225
7257,blockgroup,320030053592,2525,35.99083356,-114.9727124
7823,blockgroup,60670072062,2525,38.72329634,-121.4357504
6887,blockgroup,81010029151,2525,38.31061303,-104.7580086
663416,blockgroup,121130107022,2526,30.56598244,-87.0591099
9969,blockgroup,481576739013,2528,29.59201528,-95.66545387
7466,blockgroup,510594224021,2529,38.76618575,-77.13318942
12194,blockgroup,510594224021,2529,38.76618575,-77.13318942
8803,blockgroup,510594224021,2529,38.76618575,-77.13318942
390,blockgroup,210670042052,2533,37.98556852,-84.5729773
798416,blockgroup,330110225003,2534,42.74240489,-71.89773881
614990,blockgroup,340270444031,2534,40.92700994,-74.5096735
621646,blockgroup,260810137002,2536,42.90609504,-85.69025609
26732,blockgroup,361190021061,2538,40.97377479,-73.8276808
10847,blockgroup,40131167042,2539,33.37354684,-112.0187309
11111,blockgroup,120150201013,2539,27.01020566,-82.031112
